aded25,gen21tot,gen21ea,gen21cs,gen21othr,win21,rvtot25,rvactive725,rvhisp,rvjwsh,rvirit,rvmslm,rvchns,rvgopnop,cvapnhw,cvapblack,cvaphisp,cvapasian,acsbaplus,acsmedinc125,acsmedinc45,ascown,ascrent,cvapyouth,cvapsenior,djt2024,ea2021,cs2021,bikelanefilter
25023,312.046,162.109,140.184,9.754,Eric Adams,988,780,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
25024,287.549,128.564,152.464,6.52,Curtis Sliwa,1123,867,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1
25025,436.025,187.301,230.394,18.33,Curtis Sliwa,1666,1314,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1
25026,415.872,159.014,244.718,12.14,Curtis Sliwa,1666,1332,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
25027,459.3,245.923,198.55,14.827,Eric Adams,1612,1271,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
25028,212.123,111.772,93.306,7.045,Eric Adams,1308,1002,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
25029,451.556,185.049,243.217,23.291,Curtis Sliwa,1626,1281,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25030,349.439,123.043,211.656,14.74,Curtis Sliwa,1534,1153,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0
25031,350.437,122.584,212.668,15.186,Curtis Sliwa,1460,1088,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
25032,376.361,137.999,222.96,15.401,Curtis Sliwa,1248,983,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
25033,449.225,156.963,274.983,17.279,Curtis Sliwa,1482,1220,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
25034,332.886,113.412,207.926,11.548,Curtis Sliwa,1513,1160,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1
25035,246.107,111.604,121.111,13.392,Curtis Sliwa,1624,1165,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
25036,277.877,91.827,174.847,11.204,Curtis Sliwa,1325,984,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
25037,239.359,118.735,107.915,12.709,Eric Adams,1538,966,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
